"id" "symbol"
"ENSMUSG00000003604" "ENSMUSG00000003604" "Aven"
"ENSMUSG00000045767" "ENSMUSG00000045767" "B230219D22Rik"
"ENSMUSG00000048406" "ENSMUSG00000048406" "B330016D10Rik"
"ENSMUSG00000006731" "ENSMUSG00000006731" "B4galnt1"
"ENSMUSG00000022793" "ENSMUSG00000022793" "B4galt4"
"ENSMUSG00000017929" "ENSMUSG00000017929" "B4galt5"
"ENSMUSG00000056124" "ENSMUSG00000056124" "B4galt6"
"ENSMUSG00000028416" "ENSMUSG00000028416" "Bag1"
"ENSMUSG00000042215" "ENSMUSG00000042215" "Bag2"
"ENSMUSG00000025372" "ENSMUSG00000025372" "Baiap2"
"ENSMUSG00000024232" "ENSMUSG00000024232" "Bambi"
"ENSMUSG00000081219" "ENSMUSG00000081219" "Bambi-ps1"
"ENSMUSG00000024844" "ENSMUSG00000024844" "Banf1"
"ENSMUSG00000045763" "ENSMUSG00000045763" "Basp1"
"ENSMUSG00000026630" "ENSMUSG00000026630" "Batf3"
"ENSMUSG00000003873" "ENSMUSG00000003873" "Bax"
"ENSMUSG00000035021" "ENSMUSG00000035021" "Baz1a"
"ENSMUSG00000026987" "ENSMUSG00000026987" "Baz2b"
"ENSMUSG00000067722" "ENSMUSG00000067722" "BC003965"
"ENSMUSG00000085006" "ENSMUSG00000085006" "BC021767"
"ENSMUSG00000090164" "ENSMUSG00000090164" "BC035044"
"ENSMUSG00000057246" "ENSMUSG00000057246" "BC051142"
"ENSMUSG00000087150" "ENSMUSG00000087150" "BC064078"
"ENSMUSG00000005687" "ENSMUSG00000005687" "Bcas2"
"ENSMUSG00000059439" "ENSMUSG00000059439" "Bcas3"
"ENSMUSG00000000861" "ENSMUSG00000000861" "Bcl11a"
"ENSMUSG00000057329" "ENSMUSG00000057329" "Bcl2"
"ENSMUSG00000007659" "ENSMUSG00000007659" "Bcl2l1"
"ENSMUSG00000027381" "ENSMUSG00000027381" "Bcl2l11"
"ENSMUSG00000053175" "ENSMUSG00000053175" "Bcl3"
"ENSMUSG00000038256" "ENSMUSG00000038256" "Bcl9"
"ENSMUSG00000063382" "ENSMUSG00000063382" "Bcl9l"
"ENSMUSG00000046598" "ENSMUSG00000046598" "Bdh1"
"ENSMUSG00000047844" "ENSMUSG00000047844" "Bex4"
"ENSMUSG00000075269" "ENSMUSG00000075269" "Bex6"
"ENSMUSG00000052271" "ENSMUSG00000052271" "Bhlha15"
"ENSMUSG00000024381" "ENSMUSG00000024381" "Bin1"
"ENSMUSG00000032000" "ENSMUSG00000032000" "Birc3"
"ENSMUSG00000017716" "ENSMUSG00000017716" "Birc5"
"ENSMUSG00000030528" "ENSMUSG00000030528" "Blm"
"ENSMUSG00000061132" "ENSMUSG00000061132" "Blnk"
"ENSMUSG00000001999" "ENSMUSG00000001999" "Blvra"
"ENSMUSG00000040466" "ENSMUSG00000040466" "Blvrb"
"ENSMUSG00000034663" "ENSMUSG00000034663" "Bmp2k"
"ENSMUSG00000030138" "ENSMUSG00000030138" "Bms1"
"ENSMUSG00000061755" "ENSMUSG00000061755" "Bod1l"
"ENSMUSG00000047721" "ENSMUSG00000047721" "Bola2"
"ENSMUSG00000045160" "ENSMUSG00000045160" "Bola3"
"ENSMUSG00000025977" "ENSMUSG00000025977" "Boll"
"ENSMUSG00000040481" "ENSMUSG00000040481" "Bptf"
"ENSMUSG00000026918" "ENSMUSG00000026918" "Brd3"
"ENSMUSG00000024002" "ENSMUSG00000024002" "Brd4"
"ENSMUSG00000031660" "ENSMUSG00000031660" "Brd7"
"ENSMUSG00000011158" "ENSMUSG00000011158" "Brf1"
"ENSMUSG00000037905" "ENSMUSG00000037905" "Bri3bp"
"ENSMUSG00000022247" "ENSMUSG00000022247" "Brix1"
"ENSMUSG00000023175" "ENSMUSG00000023175" "Bsg"
"ENSMUSG00000046718" "ENSMUSG00000046718" "Bst2"
"ENSMUSG00000062098" "ENSMUSG00000062098" "Btbd3"
"ENSMUSG00000036478" "ENSMUSG00000036478" "Btg1"
"ENSMUSG00000020423" "ENSMUSG00000020423" "Btg2"
"ENSMUSG00000040283" "ENSMUSG00000040283" "Btnl9"
"ENSMUSG00000040084" "ENSMUSG00000040084" "Bub1b"
"ENSMUSG00000066979" "ENSMUSG00000066979" "Bub3"
"ENSMUSG00000051223" "ENSMUSG00000051223" "Bzw1"
"ENSMUSG00000020547" "ENSMUSG00000020547" "Bzw2"
"ENSMUSG00000042460" "ENSMUSG00000042460" "C1galt1"
"ENSMUSG00000048970" "ENSMUSG00000048970" "C1galt1c1"
"ENSMUSG00000036905" "ENSMUSG00000036905" "C1qb"
"ENSMUSG00000018446" "ENSMUSG00000018446" "C1qbp"
"ENSMUSG00000036896" "ENSMUSG00000036896" "C1qc"
"ENSMUSG00000022440" "ENSMUSG00000022440" "C1qtnf6"
"ENSMUSG00000038527" "ENSMUSG00000038527" "C1rl"
"ENSMUSG00000024164" "ENSMUSG00000024164" "C3"
"ENSMUSG00000036377" "ENSMUSG00000036377" "C530008M17Rik"
"ENSMUSG00000040957" "ENSMUSG00000040957" "Cables1"
"ENSMUSG00000028532" "ENSMUSG00000028532" "Cachd1"
"ENSMUSG00000014226" "ENSMUSG00000014226" "Cacybp"
"ENSMUSG00000013629" "ENSMUSG00000013629" "Cad"
"ENSMUSG00000023055" "ENSMUSG00000023055" "Calcoco1"
"ENSMUSG00000001175" "ENSMUSG00000001175" "Calm1"
"ENSMUSG00000036438" "ENSMUSG00000036438" "Calm2"
"ENSMUSG00000003814" "ENSMUSG00000003814" "Calr"
"ENSMUSG00000030272" "ENSMUSG00000030272" "Camk1"
"ENSMUSG00000039145" "ENSMUSG00000039145" "Camk1d"
"ENSMUSG00000020785" "ENSMUSG00000020785" "Camkk1"
"ENSMUSG00000020114" "ENSMUSG00000020114" "Cand1"
"ENSMUSG00000020368" "ENSMUSG00000020368" "Canx"
"ENSMUSG00000028656" "ENSMUSG00000028656" "Cap1"
"ENSMUSG00000056737" "ENSMUSG00000056737" "Capg"
"ENSMUSG00000024942" "ENSMUSG00000024942" "Capn1"
"ENSMUSG00000035547" "ENSMUSG00000035547" "Capn5"
"ENSMUSG00000001794" "ENSMUSG00000001794" "Capns1"
"ENSMUSG00000027184" "ENSMUSG00000027184" "Caprin1"
"ENSMUSG00000030309" "ENSMUSG00000030309" "Caprin2"
"ENSMUSG00000028745" "ENSMUSG00000028745" "Capzb"
"ENSMUSG00000027556" "ENSMUSG00000027556" "Car1"
"ENSMUSG00000027562" "ENSMUSG00000027562" "Car2"
"ENSMUSG00000028463" "ENSMUSG00000028463" "Car9"
"ENSMUSG00000041849" "ENSMUSG00000041849" "Card6"
"ENSMUSG00000008393" "ENSMUSG00000008393" "Carhsp1"
"ENSMUSG00000010755" "ENSMUSG00000010755" "Cars"
"ENSMUSG00000025888" "ENSMUSG00000025888" "Casp1"
"ENSMUSG00000031628" "ENSMUSG00000031628" "Casp3"
"ENSMUSG00000027997" "ENSMUSG00000027997" "Casp6"
"ENSMUSG00000025076" "ENSMUSG00000025076" "Casp7"
"ENSMUSG00000021585" "ENSMUSG00000021585" "Cast"
"ENSMUSG00000028977" "ENSMUSG00000028977" "Casz1"
"ENSMUSG00000006362" "ENSMUSG00000006362" "Cbfa2t3"
"ENSMUSG00000031885" "ENSMUSG00000031885" "Cbfb"
"ENSMUSG00000034342" "ENSMUSG00000034342" "Cbl"
"ENSMUSG00000051483" "ENSMUSG00000051483" "Cbr1"
"ENSMUSG00000022947" "ENSMUSG00000022947" "Cbr3"
"ENSMUSG00000039989" "ENSMUSG00000039989" "Cbx4"
"ENSMUSG00000009575" "ENSMUSG00000009575" "Cbx5"
"ENSMUSG00000025578" "ENSMUSG00000025578" "Cbx8"
"ENSMUSG00000020074" "ENSMUSG00000020074" "Ccar1"
"ENSMUSG00000063605" "ENSMUSG00000063605" "Ccdc102a"
"ENSMUSG00000048924" "ENSMUSG00000048924" "Ccdc125"
"ENSMUSG00000039983" "ENSMUSG00000039983" "Ccdc32"
"ENSMUSG00000038127" "ENSMUSG00000038127" "Ccdc50"
"ENSMUSG00000049588" "ENSMUSG00000049588" "Ccdc69"
"ENSMUSG00000041617" "ENSMUSG00000041617" "Ccdc74a"
"ENSMUSG00000032740" "ENSMUSG00000032740" "Ccdc88a"
"ENSMUSG00000047810" "ENSMUSG00000047810" "Ccdc88b"
"ENSMUSG00000035042" "ENSMUSG00000035042" "Ccl5"
"ENSMUSG00000018927" "ENSMUSG00000018927" "Ccl6"
"ENSMUSG00000019122" "ENSMUSG00000019122" "Ccl9"
"ENSMUSG00000041431" "ENSMUSG00000041431" "Ccnb1"
"ENSMUSG00000032218" "ENSMUSG00000032218" "Ccnb2"
"ENSMUSG00000070348" "ENSMUSG00000070348" "Ccnd1"
"ENSMUSG00000002068" "ENSMUSG00000002068" "Ccne1"
"ENSMUSG00000072082" "ENSMUSG00000072082" "Ccnf"
"ENSMUSG00000029385" "ENSMUSG00000029385" "Ccng2"
"ENSMUSG00000001416" "ENSMUSG00000001416" "Cct3"
